Main.Row	Main.Col	Sub.Row	Sub.Col	SubgridAlias	SpotType	Dilution
2	9	1	4	Sample-X-1-4	Sample	12.5
2	9	2	1	Sample-X-1-5	Sample	6.25
2	9	2	2	Sample-X-1-6	Sample	3.125
2	9	2	3	Sample-X-1-7	Sample	1.5625
2	9	2	4	NegCtrl	NegCtrl	0
2	9	3	1	Sample-X-1-1	Sample	100
2	9	3	2	Sample-X-1-2	Sample	50
2	9	3	3	Sample-X-1-3	Sample	25
2	9	3	4	Sample-X-1-4	Sample	12.5
2	9	4	1	Sample-X-1-5	Sample	6.25
2	9	4	2	Sample-X-1-6	Sample	3.125
2	9	4	3	Sample-X-1-7	Sample	1.5625
2	9	4	4	PosCtrl	PosCtrl	100
2	10	1	1	Sample-X-1-1	Sample	100
2	10	1	2	Sample-X-1-2	Sample	50
2	10	1	3	Sample-X-1-3	Sample	25
2	10	1	4	Sample-X-1-4	Sample	12.5
2	10	2	1	Sample-X-1-5	Sample	6.25
2	10	2	2	Sample-X-1-6	Sample	3.125
2	10	2	3	Sample-X-1-7	Sample	1.5625
2	10	2	4	NegCtrl	NegCtrl	0
2	10	3	1	Sample-X-1-1	Sample	100
2	10	3	2	Sample-X-1-2	Sample	50
2	10	3	3	Sample-X-1-3	Sample	25
2	10	3	4	Sample-X-1-4	Sample	12.5
2	10	4	1	Sample-X-1-5	Sample	6.25
2	10	4	2	Sample-X-1-6	Sample	3.125
2	10	4	3	Sample-X-1-7	Sample	1.5625
2	10	4	4	PosCtrl	PosCtrl	100
2	11	1	1	Sample-X-1-1	Sample	100
2	11	1	2	Sample-X-1-2	Sample	50
2	11	1	3	Sample-X-1-3	Sample	25
2	11	1	4	Sample-X-1-4	Sample	12.5
2	11	2	1	Sample-X-1-5	Sample	6.25
2	11	2	2	Sample-X-1-6	Sample	3.125
2	11	2	3	Sample-X-1-7	Sample	1.5625
2	11	2	4	NegCtrl	NegCtrl	0
2	11	3	1	Sample-X-1-1	Sample	100
2	11	3	2	Sample-X-1-2	Sample	50
2	11	3	3	Sample-X-1-3	Sample	25
2	11	3	4	Sample-X-1-4	Sample	12.5
2	11	4	1	Sample-X-1-5	Sample	6.25
2	11	4	2	Sample-X-1-6	Sample	3.125
2	11	4	3	Sample-X-1-7	Sample	1.5625
2	11	4	4	PosCtrl	PosCtrl	100
2	12	1	1	Sample-X-1-1	Sample	100
2	12	1	2	Sample-X-1-2	Sample	50
2	12	1	3	Sample-X-1-3	Sample	25
2	12	1	4	Sample-X-1-4	Sample	12.5
2	12	2	1	Sample-X-1-5	Sample	6.25
2	12	2	2	Sample-X-1-6	Sample	3.125
2	12	2	3	Sample-X-1-7	Sample	1.5625
2	12	2	4	NegCtrl	NegCtrl	0
2	12	3	1	Sample-X-1-1	Sample	100
2	12	3	2	Sample-X-1-2	Sample	50
2	12	3	3	Sample-X-1-3	Sample	25
2	12	3	4	Sample-X-1-4	Sample	12.5
2	12	4	1	Sample-X-1-5	Sample	6.25
2	12	4	2	Sample-X-1-6	Sample	3.125
2	12	4	3	Sample-X-1-7	Sample	1.5625
2	12	4	4	PosCtrl	PosCtrl	100
3	1	1	1	Sample-X-1-1	Sample	100
3	1	1	2	Sample-X-1-2	Sample	50
3	1	1	3	Sample-X-1-3	Sample	25
3	1	1	4	Sample-X-1-4	Sample	12.5
3	1	2	1	Sample-X-1-5	Sample	6.25
3	1	2	2	Sample-X-1-6	Sample	3.125
3	1	2	3	Sample-X-1-7	Sample	1.5625
3	1	2	4	NegCtrl	NegCtrl	0
3	1	3	1	Sample-X-1-1	Sample	100
3	1	3	2	Sample-X-1-2	Sample	50
3	1	3	3	Sample-X-1-3	Sample	25
3	1	3	4	Sample-X-1-4	Sample	12.5
3	1	4	1	Sample-X-1-5	Sample	6.25
3	1	4	2	Sample-X-1-6	Sample	3.125
3	1	4	3	Sample-X-1-7	Sample	1.5625
3	1	4	4	PosCtrl	PosCtrl	100
3	2	1	1	Sample-X-1-1	Sample	100
3	2	1	2	Sample-X-1-2	Sample	50
3	2	1	3	Sample-X-1-3	Sample	25
3	2	1	4	Sample-X-1-4	Sample	12.5
3	2	2	1	Sample-X-1-5	Sample	6.25
3	2	2	2	Sample-X-1-6	Sample	3.125
3	2	2	3	Sample-X-1-7	Sample	1.5625
3	2	2	4	NegCtrl	NegCtrl	0
3	2	3	1	Sample-X-1-1	Sample	100
3	2	3	2	Sample-X-1-2	Sample	50
3	2	3	3	Sample-X-1-3	Sample	25
3	2	3	4	Sample-X-1-4	Sample	12.5
3	2	4	1	Sample-X-1-5	Sample	6.25
3	2	4	2	Sample-X-1-6	Sample	3.125
3	2	4	3	Sample-X-1-7	Sample	1.5625
3	2	4	4	PosCtrl	PosCtrl	100
3	3	1	1	Sample-X-1-1	Sample	100
3	3	1	2	Sample-X-1-2	Sample	50
3	3	1	3	Sample-X-1-3	Sample	25
3	3	1	4	Sample-X-1-4	Sample	12.5
3	3	2	1	Sample-X-1-5	Sample	6.25
3	3	2	2	Sample-X-1-6	Sample	3.125
3	3	2	3	Sample-X-1-7	Sample	1.5625
3	3	2	4	NegCtrl	NegCtrl	0
3	3	3	1	Sample-X-1-1	Sample	100
3	3	3	2	Sample-X-1-2	Sample	50
3	3	3	3	Sample-X-1-3	Sample	25
3	3	3	4	Sample-X-1-4	Sample	12.5
3	3	4	1	Sample-X-1-5	Sample	6.25
3	3	4	2	Sample-X-1-6	Sample	3.125
3	3	4	3	Sample-X-1-7	Sample	1.5625
3	3	4	4	PosCtrl	PosCtrl	100
3	4	1	1	Sample-X-1-1	Sample	100
3	4	1	2	Sample-X-1-2	Sample	50
3	4	1	3	Sample-X-1-3	Sample	25
3	4	1	4	Sample-X-1-4	Sample	12.5
3	4	2	1	Sample-X-1-5	Sample	6.25
3	4	2	2	Sample-X-1-6	Sample	3.125
3	4	2	3	Sample-X-1-7	Sample	1.5625
3	4	2	4	NegCtrl	NegCtrl	0
3	4	3	1	Sample-X-1-1	Sample	100
3	4	3	2	Sample-X-1-2	Sample	50
3	4	3	3	Sample-X-1-3	Sample	25
3	4	3	4	Sample-X-1-4	Sample	12.5
3	4	4	1	Sample-X-1-5	Sample	6.25
3	4	4	2	Sample-X-1-6	Sample	3.125
3	4	4	3	Sample-X-1-7	Sample	1.5625
3	4	4	4	PosCtrl	PosCtrl	100
3	5	1	1	Sample-X-1-1	Sample	100
3	5	1	2	Sample-X-1-2	Sample	50
3	5	1	3	Sample-X-1-3	Sample	25
3	5	1	4	Sample-X-1-4	Sample	12.5
3	5	2	1	Sample-X-1-5	Sample	6.25
3	5	2	2	Sample-X-1-6	Sample	3.125
